Isleworks Potion,High,Sufficient,None,Sufficient,None,Sufficient,None,Insufficient,Skyrocketing,Cycle5Strong
Isleworks Firesand,Very High,Sufficient,None,Sufficient,None,Sufficient,Increasing,Sufficient,Increasing,Cycle4Weak
Isleworks Wooden Chair,Average,Sufficient,None,Sufficient,None,Insufficient,Increasing,Insufficient,Increasing,Cycle4Weak
Isleworks Grilled Clam,Average,Sufficient,None,Sufficient,None,Sufficient,None,Insufficient,Increasing,Cycle5Weak
Isleworks Necklace,Very High,Sufficient,None,Insufficient,None,Sufficient,Plummeting,Sufficient,Skyrocketing,Cycle6Strong
Isleworks Coral Ring,Low,Sufficient,None,Sufficient,None,Sufficient,None,Insufficient,Increasing,Cycle5Weak
Isleworks Barbut,Average,Sufficient,None,Sufficient,None,Insufficient,Increasing,Insufficient,Increasing,Cycle4Weak
Isleworks Macuahuitl,High,Insufficient,Skyrocketing,Nonexistent,Skyrocketing,Sufficient,Plummeting,Sufficient,None,Cycle2Strong
Isleworks Sauerkraut,Low,Sufficient,Plummeting,Insufficient,None,Sufficient,Plummeting,Sufficient,Increasing,Cycle7Weak
Isleworks Baked Pumpkin,Average,Insufficient,Skyrocketing,Nonexistent,Skyrocketing,Sufficient,Plummeting,Sufficient,None,Cycle2Strong
Isleworks Tunic,High,Sufficient,None,Insufficient,None,Sufficient,Decreasing,Sufficient,Increasing,Cycle6Weak
Isleworks Culinary Knife,Average,Sufficient,Plummeting,Insufficient,Skyrocketing,Nonexistent,Increasing,Sufficient,Plummeting,Cycle3Strong
Isleworks Brush,Very High,Sufficient,None,Insufficient,None,Sufficient,Plummeting,Sufficient,Increasing,Cycle7Weak
Isleworks Boiled Egg,Very High,Sufficient,None,Insufficient,Skyrocketing,Nonexistent,None,Surplus,Plummeting,Cycle3Strong
Isleworks Hora,High,Sufficient,Plummeting,Insufficient,Increasing,Insufficient,Increasing,Sufficient,Plummeting,Cycle3Weak
Isleworks Earrings,High,Sufficient,None,Insufficient,None,Sufficient,Plummeting,Sufficient,None,Cycle7Strong
Isleworks Butter,Low,Sufficient,None,Sufficient,None,Sufficient,None,Insufficient,Increasing,Cycle5Weak
Isleworks Brick Counter,Average,Sufficient,None,Sufficient,None,Insufficient,Skyrocketing,Nonexistent,Skyrocketing,Cycle4Strong
Bronze Sheep,Average,Sufficient,None,Insufficient,None,Sufficient,Plummeting,Sufficient,None,Cycle7Strong
Isleworks Growth Formula,Very High,Insufficient,Increasing,Insufficient,Increasing,Surplus,Plummeting,Surplus,None,Cycle2Weak
Isleworks Garnet Rapier,Low,Sufficient,Plummeting,Insufficient,None,Sufficient,Plummeting,Sufficient,None,Cycle7Strong
Isleworks Spruce Round Shield,High,Sufficient,Plummeting,Insufficient,None,Sufficient,Plummeting,Sufficient,None,Cycle7Strong
Isleworks Shark Oil,High,Sufficient,None,Insufficient,None,Sufficient,Plummeting,Sufficient,Increasing,Cycle7Weak
Isleworks Silver Ear Cuffs,Low,Sufficient,None,Sufficient,None,Insufficient,Skyrocketing,Nonexistent,Skyrocketing,Cycle4Strong
Isleworks Sweet Popoto,High,Sufficient,None,Sufficient,None,Sufficient,None,Insufficient,Skyrocketing,Cycle5Strong
Isleworks Parsnip Salad,Low,Sufficient,None,Insufficient,Increasing,Insufficient,Increasing,Sufficient,Plummeting,Cycle3Weak
Isleworks Caramels,Average,Sufficient,Plummeting,Sufficient,None,Insufficient,Increasing,Insufficient,Increasing,Cycle4Weak
Isleworks Ribbon,Very High,Insufficient,Skyrocketing,Nonexistent,Skyrocketing,Sufficient,Plummeting,Sufficient,None,Cycle2Strong
Isleworks Rope,Average,Sufficient,None,Insufficient,None,Sufficient,Decreasing,Sufficient,Increasing,Cycle6Weak
Isleworks Cavalier's Hat,Average,Sufficient,None,Insufficient,Increasing,Insufficient,Increasing,Sufficient,Plummeting,Cycle3Weak
Isleworks Horn,Average,Sufficient,None,Insufficient,Skyrocketing,Nonexistent,Skyrocketing,Sufficient,Plummeting,Cycle3Strong
Isleworks Salt Cod,Average,Sufficient,None,Insufficient,Increasing,Insufficient,Increasing,Sufficient,Plummeting,Cycle3Weak
Isleworks Squid Ink,Very High,Sufficient,None,Sufficient,None,Insufficient,Skyrocketing,Nonexistent,Skyrocketing,Cycle4Strong
